"playerID","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP"
"abramge01",1923,1,"CIN","NL",0,0,3,0,0,0,0,14,10,5,0,3,1,0.50,9.64,,0,0,0,24,1,5,,,
"abregjo01",1985,1,"CHN","NL",1,1,6,5,0,0,0,72,32,17,3,12,13,0.35,6.38,1,0,0,0,109,0,18,,,
"abreuwi01",2006,1,"BAL","AL",0,0,7,0,0,0,0,24,10,9,1,6,6,,10.13,1,0,1,0,42,2,10,,,
"abreuwi01",2007,1,"WAS","NL",0,1,26,0,0,0,0,91,37,20,7,9,26,,5.93,1,2,0,1,133,3,21,,,
"abreuwi01",2009,1,"TBA","AL",0,0,2,0,0,0,0,11,3,1,0,2,3,,2.45,0,0,0,0,15,1,1,,,
"abreuwi01",2009,2,"CLE","AL",0,0,3,0,0,0,0,7,7,6,2,2,3,,23.14,0,0,1,0,17,0,7,,,
"accarje01",2005,1,"SFN","NL",1,5,28,0,0,0,0,89,26,13,2,9,16,,3.94,1,1,1,0,124,7,13,,,
"accarje01",2006,1,"SFN","NL",1,3,38,0,0,0,3,121,38,22,2,11,40,,4.91,3,2,1,0,170,16,23,,,
"accarje01",2006,2,"TOR","AL",1,1,27,0,0,0,0,86,38,19,5,9,14,,5.97,2,2,0,1,127,11,19,,,
"accarje01",2007,1,"TOR","AL",4,4,64,0,0,0,30,202,51,16,4,24,57,,2.14,2,0,2,1,275,48,19,,,
"accarje01",2008,1,"TOR","AL",0,3,16,0,0,0,4,37,15,9,1,4,5,,6.57,2,1,1,0,56,6,10,,,
"accarje01",2009,1,"TOR","AL",0,0,26,0,0,0,1,74,23,7,2,17,18,,2.55,1,0,2,0,107,5,8,,,
"accarje01",2010,1,"TOR","AL",0,1,5,0,0,0,0,20,12,6,0,3,3,,8.10,0,2,1,0,34,2,6,,,
"aceveal01",2008,1,"NYA","AL",1,0,6,4,0,0,0,90,25,8,4,10,16,,2.40,0,1,0,0,120,1,8,,,
"aceveal01",2009,1,"NYA","AL",10,1,43,1,0,0,1,252,69,33,10,16,69,,3.54,2,0,5,0,337,10,36,,,
"aceveal01",2010,1,"NYA","AL",3,0,10,0,0,0,1,36,10,4,1,4,2,,3.00,1,0,1,0,53,2,5,,,
"acevejo01",2001,1,"CIN","NL",5,7,18,18,0,0,0,288,101,58,17,34,68,,5.44,2,4,3,0,417,0,61,,,
"acevejo01",2002,1,"CIN","NL",4,2,6,5,0,0,0,71,28,19,8,12,14,,7.23,0,1,2,0,112,0,21,,,
"acevejo01",2003,1,"CIN","NL",2,0,5,4,1,0,0,81,17,8,3,6,23,0.18,2.67,1,1,1,0,103,1,8,,,
"acevejo01",2004,1,"CIN","NL",5,12,39,27,0,0,0,473,188,104,30,45,117,0.29,5.94,8,3,5,1,704,3,108,,,
"acevejo01",2005,1,"COL","NL",2,4,36,5,0,0,1,192,86,46,13,16,31,,6.47,3,0,1,1,292,7,48,,,
"aceveju01",1995,1,"COL","NL",4,6,17,11,0,0,0,197,82,47,15,20,40,0.30,6.44,2,2,6,1,291,0,53,,,
"aceveju01",1997,1,"NYN","NL",3,1,25,2,0,0,0,143,52,19,6,22,33,0.28,3.59,2,0,4,1,215,4,24,,,
"aceveju01",1998,1,"SLN","NL",8,3,50,9,0,0,15,295,83,28,7,29,56,,2.56,2,3,4,0,394,29,30,,,
"aceveju01",1999,1,"SLN","NL",6,8,50,12,0,0,4,307,115,67,17,48,52,0.00,5.89,3,5,4,0,457,21,71,,,
"aceveju01",2000,1,"MIL","NL",3,7,62,0,0,0,0,248,77,35,11,31,51,0.00,3.81,9,3,1,2,347,18,38,,,
"aceveju01",2001,1,"COL","NL",0,2,38,0,0,0,0,96,37,20,4,19,26,,5.63,6,0,1,0,153,13,24,,,
"aceveju01",2001,2,"FLO","NL",2,3,20,0,0,0,0,85,31,8,2,16,21,,2.54,3,1,1,0,129,6,11,,,
